,1,2,3,4,5,6,7,8,9,10
STT,R_610nm,S_680nm,T_730nm,U_760nm,V_810nm,W_860nm,DATE,weight,height,HU
1,3.791637477,3.962141817,4.117883986,4.181327786,4.490809829,4.483489426,2,62.38,0.7,82.7666
2,3.750933734,3.934068649,4.125717848,4.186987743,4.555548381,4.531907163,2,61.62,0.8,88.9867
3,3.777527459,3.899753168,4.075204861,4.134834674,4.537381876,4.512304375,2,60,0.8,89.4133
4,3.741624873,3.900817764,4.116142784,4.180381754,4.558129278,4.529981505,2,60,0.9,94.629
5,3.791171328,3.943754318,4.116553105,4.172628241,4.50873096,4.480422546,2,61.19,0.96,97.2217
6,3.819077608,3.915111568,4.095367227,4.155176001,4.548404823,4.516370861,2,59.54,0.9,94.7369
7,3.80818317,3.91379487,4.077753591,4.132907172,4.566113363,4.529557671,2,59.53,0.8,89.5377
8,3.828166314,3.930000523,4.11098074,4.172821034,4.582226051,4.555024694,2,58.31,0.97,98.3086
9,3.757736411,3.958588144,4.113397336,4.165602517,4.511940672,4.477103526,2,63.89,0.98,97.5655
10,3.8023136,3.912129047,4.066011092,4.121375861,4.539782939,4.502871254,2,62.57,0.98,97.8443
11,3.742773369,3.878018736,4.079171385,4.137142466,4.579175301,4.543421987,2,63.52,0.94,95.7695
12,3.828851053,3.863329832,4.015108038,4.071886213,4.545479387,4.502637393,2,59.07,0.9,94.8475
13,3.759345249,3.949548187,4.110738323,4.175292056,4.580095054,4.553496459,2,61.15,0.8,89.1102
14,3.681386782,3.751499979,3.969302588,4.040262335,4.529220953,4.491774805,2,60.15,0.9,94.5939
15,3.763838534,3.882909268,4.062967153,4.11863955,4.539316381,4.499736873,2,64,0.9,93.7007
16,3.783929005,3.93368546,4.133741532,4.190464987,4.550942431,4.521664945,2,59.65,0.97,98.0159
17,3.830643387,3.937990529,4.104879774,4.161693601,4.559901531,4.528315144,2,61.4,0.98,98.0931
18,3.755615659,3.953071551,4.115937462,4.172545609,4.541568763,4.514716329,2,61.41,0.98,98.091
19,3.749293334,3.856056775,4.063430891,4.131577002,4.560334456,4.531328804,2,63.08,0.92,94.9006
20,3.749293334,3.856056775,4.063430891,4.1304553,4.560334456,4.53114104,2,60.45,0.98,98.2962
21,3.812200715,3.921128519,4.099012263,4.159541375,4.546336726,4.508727095,3,60.64,0.98,98.2555
22,3.792847067,3.939506236,4.108202359,4.173838603,4.546547724,4.516743031,3,60.76,0.8,89.2128
23,3.768089077,3.927007658,4.108272041,4.172710885,4.540362229,4.505120077,3,62.4,0.9,94.0699
24,3.765028928,3.927841097,4.117338469,4.180192317,4.543934342,4.510289628,3,60.37,0.8,89.3156
25,3.783359561,3.896304954,4.083581627,4.148209568,4.518991052,4.482125156,3,61.85,0.8,88.9263
26,3.770443518,3.909125955,4.112915091,4.171580231,4.539051387,4.500190844,3,59.86,0.9,94.6618
27,3.820823521,3.941823633,4.106246856,4.160250527,4.537533947,4.501214699,3,59.51,0.8,89.543
28,3.798478369,3.958949988,4.118734972,4.179786057,4.56221747,4.523149806,3,59.76,0.8,89.4768
29,3.800947764,3.927063297,4.091727497,4.154688259,4.567025677,4.531344427,3,57.88,0.98,98.8512
30,3.746407679,3.928007573,4.116723971,4.182837169,4.550401644,4.515528155,3,60.71,0.95,96.8621
31,3.820997727,3.995025711,4.163419933,4.222241558,4.564985132,4.535887822,3,60.83,0.8,89.1944
32,3.813088481,3.990484582,4.138673972,4.192048377,4.520574564,4.489317798,3,62.14,0.84,91.0399
33,3.813620271,3.956150743,4.108028106,4.165154363,4.556094917,4.522894709,3,60.94,0.85,91.8664
34,3.885236452,3.968961206,4.122189854,4.174223003,4.528833425,4.486326658,3,58.14,0.76,87.658
35,3.791078059,3.936795953,4.09975895,4.155032615,4.546373997,4.504554801,3,59.31,0.96,97.6337
36,3.87781245,3.977659403,4.146080926,4.202150516,4.58394838,4.544364146,3,60.28,0.85,92.0299
37,3.849885571,3.972781836,4.112673751,4.168309641,4.538192157,4.501884794,3,62.64,0.82,89.8314
38,3.804670949,3.954952982,4.102626994,4.15823353,4.542057938,4.507737314,3,60.42,0.97,97.8487
39,3.835218525,3.943433116,4.089914318,4.148267842,4.553941262,4.512075541,3,60.91,0.99,98.6481
