R_610nm,S_680nm,T_730nm,U_760nm,V_810nm,W_860nm,DATE,weight,height,HU
3.636642333,3.91687986,4.060174277,4.162371032,4.51592639,4.507786849,2,60.15,0.9,94.5939
3.682226718,3.937067734,4.054257946,4.148442618,4.536963531,4.513006532,2,61.15,0.8,89.1102
3.684617559,3.947059372,4.08696079,4.173041248,4.534240591,4.507373825,2,63.52,0.94,95.7695
3.710083096,3.90323297,4.052716706,4.140685049,4.52690349,4.495748624,2,60.45,0.98,98.2962
3.710307886,3.986526334,4.077828297,4.177177022,4.45725683,4.444048244,2,59.54,0.9,94.7369
3.710307886,3.911091879,4.071125884,4.143345271,4.496304641,4.452513388,2,64,0.9,93.7007
3.713219582,3.967342405,4.083323418,4.168754553,4.467259743,4.472327895,2,62.57,0.98,97.8443
3.723368676,3.976817195,4.077304869,4.176221895,4.503885148,4.493484763,2,60,0.8,89.4133
3.724675155,3.86698504,3.988263456,4.065305868,4.500063094,4.467698382,2,63.89,0.98,97.5655
3.769954043,3.999284479,4.101885225,4.20114565,4.546150517,4.532313124,2,58.31,0.97,98.3086
3.771713513,3.972230961,4.08088148,4.175483642,4.525993839,4.503271915,2,61.19,0.96,97.2217
3.774823967,3.970925994,4.067697201,4.16332895,4.534202314,4.526863652,2,59.53,0.8,89.5377
3.777912301,3.938749068,4.117372586,4.18415358,4.553294268,4.493945286,2,59.65,0.97,98.0159
3.804218622,3.953176294,4.078388416,4.150940075,4.487950922,4.300577865,2,59.07,0.9,94.8475
3.813974437,3.926339783,4.0493385,4.132695815,4.538217458,4.513218589,2,62.38,0.7,82.7666
3.693467766,3.901172042,4.051050761,4.128721591,4.540940798,4.503972124,3,60.71,0.95,96.8621
3.703741254,3.952442608,4.094936383,4.177149777,4.500104529,4.462927469,3,60.76,0.8,89.2128
3.723368676,3.954952982,4.088786316,4.165350502,4.508026512,4.474650979,3,60.94,0.85,91.8664
3.727168288,3.945409965,4.08958715,4.16616206,4.502788721,4.466410696,3,59.31,0.96,97.6337
3.734669256,3.917676097,4.04613484,4.128538693,4.507782396,4.475220938,3,60.64,0.98,98.2555
3.741415725,3.952495035,4.092956174,4.169864843,4.529014311,4.486881482,3,59.76,0.8,89.4768
3.744334667,3.954692169,4.124980998,4.18903498,4.513416187,4.459526859,3,62.4,0.9,94.0699
3.754703611,3.932808321,4.078910541,4.152385522,4.522519676,4.475167546,3,57.88,0.98,98.8512
3.755311868,3.950971458,4.089950658,4.171883876,4.543247248,4.505817342,3,60.37,0.8,89.3156
3.757030631,3.982335862,4.114703583,4.189750572,4.49569133,4.456415471,3,60.42,0.97,97.8487
3.770834687,3.966784537,4.109002957,4.186000555,4.531166356,4.490350411,3,59.86,0.9,94.6618
3.774339442,3.884261463,4.022045935,4.098725702,4.548318338,4.510765494,3,62.14,0.84,91.0399
3.794886451,3.926729506,4.052241379,4.124987423,4.4883909,4.452269539,3,62.64,0.82,89.8314
3.804942146,3.937230711,4.069719573,4.148005561,4.548306003,4.512973886,3,60.83,0.8,89.1944
3.825330317,3.9479612,4.073132389,4.151142738,4.542634253,4.507274655,3,60.28,0.85,92.0299
3.835049932,3.959724334,4.08813003,4.167195334,4.50510168,4.463531305,3,58.14,0.76,87.658
3.860510076,3.935543526,4.067582437,4.140121379,4.557391724,4.521664945,3,63.77,0.86,91.6999
3.590766482,3.795964255,3.931535833,4.016457302,4.479491322,4.44679332,4,61.56,0.8,89.0024
3.594009706,3.821518358,3.946098579,4.032496781,4.460248681,4.432321617,4,60.66,0.7,83.2849
3.621193074,3.872442329,3.986560981,4.075173864,4.447064867,4.427640164,4,59,0.73,85.6405
3.628986422,3.875458732,3.979730342,4.074311099,4.4890146,4.476642532,4,60.48,0.82,90.3842
3.630339368,3.860616693,3.990416516,4.0795304,4.51592639,4.492220049,4,62.65,0.71,83.3277
3.63956153,3.868387626,3.98294995,4.07049448,4.487723675,4.468494505,4,60.7,0.75,86.3527
3.649368378,3.818458676,3.952976755,4.029749513,4.510041985,4.483140025,4,58.07,0.73,85.912
3.658072493,3.85782128,4.002271255,4.090317515,4.505620068,4.485701634,4,59.76,0.72,84.8076
3.674120145,3.803198301,3.912986453,3.996757308,4.398118236,4.382165053,4,60.16,0.84,91.5351
3.67994314,3.919716913,4.030502793,4.121189844,4.50317279,4.480879576,4,59.33,0.7,83.6879
3.685570222,3.902409756,4.014632911,4.110452788,4.527266797,4.507770329,4,59.33,0.78,88.4725
3.697768308,3.878143236,3.987895934,4.07503594,4.50250044,4.477634866,4,59.59,0.87,93.2286
3.703855296,3.802680276,3.941775672,4.014756897,4.500242587,4.466319862,4,63.53,0.82,89.6051
3.70760269,3.862556365,3.961607202,4.055136264,4.456967179,4.445689748,4,61.56,0.85,91.7133
3.710869333,3.840727941,3.947815784,4.036509986,4.457272072,4.444583363,4,59.39,0.78,88.4562
3.729969507,3.82931835,3.936634235,4.015785873,4.445814963,4.414146482,4,60.61,0.77,87.5507
3.757131543,3.870483063,3.99018796,4.068468477,4.506273967,4.48198499,4,61.63,0.74,85.489
3.619811287,3.809585654,3.975021457,4.054485913,4.528134972,4.499955508,5,59.03,0.69,83.14343
3.633435215,3.756058042,3.911509352,3.986477158,4.474994118,4.448746254,5,59.87,0.73,85.38748
3.633837378,3.824415783,3.950078101,4.041754228,4.484128685,4.475861219,5,61.81,0.72,84.20592
3.63956153,3.795211572,3.950629323,4.028215692,4.484100028,4.4565084,5,59.87,0.61,77.39987
3.660851588,3.850786159,3.974974106,4.061657972,4.500132149,4.48368147,5,59.24,0.8,89.61451
3.666356942,3.86634599,4.018248117,4.105787052,4.540337053,4.511911991,5,60.29,0.82,90.43309
3.668341728,3.75819618,3.908264004,3.979743806,4.464675688,4.419319141,5,58.07,0.74,86.50855
3.680063649,3.839641157,3.978416994,4.06569366,4.526448877,4.508644695,5,60.76,0.72,84.51352
3.694284638,3.843971978,3.981972571,4.064599935,4.528561955,4.50739036,5,57.79,0.74,86.58936
3.701568322,3.793475457,3.905938923,3.982782477,4.445454962,4.421761785,5,60,0.72,84.7369
3.718103097,3.821376517,3.962874928,4.029059981,4.499164569,4.463458133,5,58.76,0.76,87.48425
3.721292032,3.854942105,3.987113865,4.068048129,4.508568486,4.484762394,5,59.59,0.7,83.60894
3.726735723,3.876771827,3.991511827,4.078983952,4.487368359,4.465938175,5,59.61,0.75,86.66025
3.733712092,3.779721313,3.901923827,3.974689533,4.433854461,4.403549622,5,58.24,0.66,81.43422
3.755919274,3.778548712,3.921530922,3.998035683,4.510325305,4.461092599,5,59.17,0.65,80.45793
3.764632492,3.854942105,4.021110245,4.10048558,4.542559112,4.505634816,5,60,0.78,88.29057
3.768678885,3.840116973,3.973218623,4.048368468,4.492218164,4.464134274,5,57.96,0.73,85.94413
3.812289557,3.898864014,4.003780478,4.081709343,4.50601524,4.476038921,5,62.54,0.61,76.47102
3.611850058,3.759424998,3.895830741,3.972598831,4.424687489,4.400917588,6,58.74,0.73,85.7163
3.628986422,3.73770365,3.899958585,3.970848895,4.460415139,4.419926043,6,60,0.68,82.1952
3.631149117,3.787995306,3.950328765,4.025595768,4.485115988,4.446375075,6,59.25,0.6,76.8831
3.663988189,3.824274885,3.954518144,4.041120819,4.486799254,4.473187092,6,60.9,0.71,83.847
3.66648128,3.800006304,3.953275487,4.031125299,4.525577372,4.495663724,6,63.14,0.67,80.5457
3.666978186,3.794155639,3.95431955,4.037451127,4.514512862,4.477758741,6,61.22,0.63,78.3824
3.66858919,3.777922026,3.930750153,4.003640618,4.496262843,4.463092232,6,59.16,0.66,81.137
3.678131835,3.836843872,3.972314369,4.051365131,4.50317279,4.476997197,6,61.51,0.78,87.8823
3.681986908,3.773034274,3.919921417,3.992232271,4.500821933,4.458011004,6,62.14,0.66,80.1799
3.687706061,3.738476954,3.90012737,3.969795539,4.495091097,4.465901793,6,61.75,0.6,75.997
3.700879875,3.787075209,3.922974384,3.979185102,4.44865331,4.426287614,6,58.86,0.68,82.5517
3.713442756,3.832855707,3.97492675,4.049284248,4.514619704,4.476926287,6,60.45,0.52,70.0296
3.719975319,3.856972585,3.944831608,4.036434609,4.453091797,4.44066939,6,58.59,0.64,79.9647
3.770541326,3.857429767,3.98619197,4.066221904,4.518792687,4.483978115,6,58.74,0.58,75.5661
3.793497019,3.819385956,3.963215586,4.032648897,4.508595574,4.467535386,6,58.34,0.68,82.7147
3.829534713,3.808052445,3.933155085,3.997994483,4.481859378,4.44065011,6,58.88,0.52,70.6754
3.673997975,3.780579228,3.929805497,3.998241496,4.444420205,4.396075297,7,58.69,0.69,83.2484
3.675339688,3.824978886,3.972457278,4.055785642,4.530162565,4.503205168,7,58.19,0.64,80.0982
3.680304523,3.827573772,3.965786431,4.048478447,4.513603608,4.483140025,7,59.11,0.68,82.4734
