R_610nm,S_680nm,T_730nm,U_760nm,V_810nm,W_860nm,DATE,weight,height,HU
3.664487954,3.868323966,4.050255185,4.122706679,4.445814963,4.405957071,2,60.45,0.98,98.2962
3.670317485,3.905284164,4.048339897,4.137232114,4.489538388,4.466955243,2,64,0.9,93.7007
3.673264368,3.924273985,4.083544749,4.171331632,4.517653753,4.490419162,2,63.52,0.94,95.7695
3.687587698,3.91943405,4.064318374,4.146252829,4.486029757,4.4565084,2,61.4,0.98,98.0931
3.692298104,3.936959032,4.069224391,4.154688259,4.49376211,4.475647897,2,62.57,0.98,97.8443
3.697883972,3.930717968,4.053744807,4.13914059,4.457028187,4.436642021,2,59.54,0.9,94.7369
3.702598972,3.937447951,4.063469517,4.142667008,4.486756531,4.462762672,2,61.15,0.8,89.1102
3.706583861,3.888718302,4.059707046,4.132846799,4.470671601,4.424750906,2,61.41,0.98,98.091
3.707828768,3.929779524,4.063778397,4.141928531,4.500283978,4.466791939,2,63.08,0.92,94.9006
3.708054728,3.908604069,4.083655373,4.157663671,4.478940768,4.439878488,2,59.65,0.97,98.0159
3.721839465,3.929115902,4.063508139,4.145901438,4.470302022,4.444793432,2,59.07,0.9,94.8475
3.726302727,3.932698547,4.062386774,4.153452057,4.521035364,4.505684618,2,58.31,0.97,98.3086
3.730934986,3.945463296,4.071125884,4.159427806,4.506804558,4.484222268,2,59.53,0.8,89.5377
3.739108428,3.931048709,4.055793736,4.142667008,4.482679424,4.455634129,2,61.19,0.96,97.2217
3.740892395,3.903350448,4.036420686,4.117796525,4.520126489,4.492459586,2,63.89,0.98,97.5655
3.645993682,3.90941561,4.057402456,4.146896308,4.474642874,4.458455212,3,59.86,0.9,94.6618
3.653101758,3.887379961,4.046616895,4.125877974,4.481109927,4.450803383,3,62.4,0.9,94.0699
3.65412604,3.890415724,4.035803698,4.117045808,4.44111135,4.414474138,3,59.76,0.8,89.4768
3.670933092,3.886281867,4.064048452,4.141159195,4.507103561,4.475381104,3,60.37,0.8,89.3156
3.688415694,3.915454354,4.039410866,4.131970438,4.491415977,4.47978896,3,60.64,0.98,98.2555
3.691360101,3.897080202,4.054415725,4.133691251,4.507958701,4.480404952,3,57.88,0.98,98.8512
3.718875002,3.915111568,4.049498076,4.125448256,4.505620068,4.47756406,3,60.42,0.97,97.8487
3.732966135,3.927730061,4.049577842,4.137501012,4.514819957,4.498270887,3,60.91,0.99,98.6481
3.739213552,3.938315779,4.07902235,4.15820504,4.492948732,4.466447007,3,59.51,0.8,89.543
3.745268728,3.949548187,4.073849431,4.154027465,4.49451804,4.474971671,3,62.14,0.84,91.0399
3.763441009,3.940100244,4.068614153,4.151923482,4.525993839,4.508529298,3,60.28,0.85,92.0299
3.77161597,3.911898788,4.036132849,4.112102546,4.498666154,4.473437385,3,62.64,0.82,89.8314
3.815652773,3.921128519,4.059434241,4.134834674,4.537622605,4.504937285,3,63.77,0.86,91.6999
