R_610nm,S_680nm,T_730nm,U_760nm,V_810nm,W_860nm,DATE,weight,height,HU
3.626131418,3.71438494,3.895432852,3.968387033,4.455592535,4.413490427,2,60.15,0.9,94.5939
3.660095415,3.811258669,4.016142926,4.090849896,4.526539828,4.502486972,2,60,0.9,94.629
3.663237463,3.855335836,4.088458297,4.164649635,4.543109698,4.528330875,2,63.52,0.94,95.7695
3.681386782,3.751499979,3.969302588,4.040262335,4.529220953,4.491774805,2,61.62,0.8,88.9867
3.68270594,3.773984606,3.976581054,4.044833709,4.500118339,4.463969906,2,61.41,0.98,98.091
3.68675812,3.829248728,4.021450718,4.089751127,4.550389368,4.518921363,2,63.89,0.98,97.5655
3.690067009,3.810604773,4.024883224,4.092012226,4.539644287,4.507621702,2,61.15,0.8,89.1102
3.692180943,3.900994926,4.063508139,4.145696314,4.537901157,4.507572122,2,60,0.8,89.4133
3.692532289,3.786998441,4.013594455,4.084350268,4.532142226,4.504604701,2,59.65,0.97,98.0159
3.693584538,3.879386192,4.051368561,4.118889016,4.514339173,4.495306985,2,61.19,0.96,97.2217
3.694401233,3.75597559,3.989638977,4.064564627,4.535629623,4.505103456,2,62.38,0.7,82.7666
3.697768308,3.886037456,4.089441647,4.160817004,4.531500472,4.514000649,2,62.57,0.98,97.8443
3.698115164,3.882724571,4.092016926,4.159626548,4.571523591,4.546091131,2,59.53,0.8,89.5377
3.698692587,3.820382393,4.046777473,4.120724434,4.562025903,4.538880324,2,59.54,0.9,94.7369
3.701224257,3.897556596,4.060485472,4.127072704,4.528574864,4.506695618,2,59.07,0.9,94.8475
3.703513037,3.897318478,4.096979087,4.160618836,4.542208332,4.5211528,2,61.4,0.98,98.0931
3.704539046,3.93005578,4.116176995,4.183348096,4.542746916,4.524391253,3,60.71,0.95,96.8621
3.705562678,3.920451535,4.099261313,4.170806391,4.571722704,4.54883411,3,62.4,0.9,94.0699
3.707263332,3.807173917,4.023149172,4.093931556,4.548034047,4.519001784,3,59.86,0.9,94.6618
3.707489587,3.834991891,4.054731073,4.126827895,4.531770112,4.511208062,3,61.85,0.8,88.9263
3.708957395,3.846188284,4.070822187,4.141011074,4.550450843,4.524597825,3,59.31,0.96,97.6337
3.709295391,3.787535501,4.029626922,4.095480667,4.553416391,4.522687325,3,60.76,0.8,89.2128
3.710420217,3.877333376,4.029960786,4.09800668,4.506165052,4.486829504,3,59.76,0.8,89.4768
3.711093717,3.938207389,4.106281855,4.172104566,4.538710421,4.518953512,3,57.88,0.98,98.8512
3.711542138,3.921635579,4.097979029,4.165714483,4.50459634,4.492254265,3,60.42,0.97,97.8487
3.711654191,3.858538079,4.057128236,4.126215271,4.54716764,4.493689503,3,60.64,0.98,98.2555
3.71187817,3.938153209,4.111084592,4.179216661,4.561247003,4.550154228,3,62.14,0.84,91.0399
3.712549373,3.898448428,4.089114122,4.159853553,4.547291497,4.529620463,3,60.94,0.85,91.8664
3.713665814,3.852572134,4.051646477,4.116920562,4.569209811,4.538203407,3,59.51,0.8,89.543
3.714556905,3.861716911,4.062386774,4.143580946,4.555669919,4.543087206,3,60.83,0.8,89.1944
3.714779392,3.879944374,4.069071939,4.131909935,4.547539155,4.516872418,3,60.91,0.99,98.6481
3.71721926,3.887440861,4.040715191,4.092443168,4.400226072,4.366424672,3,63.77,0.86,91.6999
3.717992736,3.811403853,4.034443224,4.109020049,4.526929457,4.502904668,3,60.28,0.85,92.0299
3.720085178,3.866026126,4.07433937,4.146223542,4.552817593,4.530655652,4,61.56,0.8,89.0024
3.722604764,3.878640851,4.047579401,4.109020049,4.525421056,4.48819638,4,58.07,0.73,85.912
